question,query,sql,table1,table2
"What are the French program names and areas of science in English for each unique program ID and committee code combination where the funding type is an award program and the province is Ontario, along with the average award amount for these combinations?","What are the NomDuProgrammeFR and corresponding AreasOfScienceEN for each unique combination of ProgramIDProgramme and CodeCommitteeCode where FundingTypeEN is 'Award Program' and ProvinceEN is 'Ontario', along with the average AwardAmountinFY-MontantSubventiondeAF for these combinations?","SELECT AVG(T1.`AwardAmountinFY-MontantSubventiondeAF`) AS average_award, T1.`ProgramIDProgramme`, T2.`NomDuProgrammeFR`, T2.`AreasOfScienceEN` FROM `CAN_CSV0000000000001465` T1 JOIN `CAN_CSV0000000000001465` T2 ON T1.`Key-Cle` = T2.`Key-Cle` WHERE T1.`FundingTypeEN` = 'Award Program' AND T1.`ProvinceEN` = 'Ontario' GROUP BY T1.`ProgramIDProgramme`, T2.`NomDuProgrammeFR`, T2.`AreasOfScienceEN`, T1.`CodeCommitteeCode`",CAN_CSV0000000000001465,CAN_CSV0000000000001465
What locations and updated times are associated with offices that have no commercial flow delays in both datasets?,What are the Location and Updated values for each iCBSA_Office where Commercial_Flow is No delay in both tables?,"SELECT T1.`Location`, T1.`Updated`, T2.`Location`, T2.`Updated` FROM `CAN_CSV0000000000012108` T1 JOIN `CAN_CSV0000000000012108` T2 ON T1.`iCBSA_Office` = T2.`iCBSA_Office` WHERE T1.`Commercial_Flow` = 'No delay' AND T2.`Commercial_Flow` = 'No delay'",CAN_CSV0000000000012108,CAN_CSV0000000000012108
What locations and updated times are there for offices with matching identifiers and no commercial flow delays in either?,What are the Location and Updated values for all offices where both tables have the same iCBSA_Office and at least one of them has a Commercial_Flow value of 'No delay'?,"SELECT T1.`Location`, T1.`Updated`, T2.`Location`, T2.`Updated` FROM `CAN_CSV0000000000012108` T1 JOIN `CAN_CSV0000000000012108` T2 ON T1.`iCBSA_Office` = T2.`iCBSA_Office` WHERE T1.`Commercial_Flow` = 'No delay' OR T2.`Commercial_Flow` = 'No delay'",CAN_CSV0000000000012108,CAN_CSV0000000000012108
What locations and update times are there for offices with matching identifiers and no commercial flow delays in either?,What are the Location and Updated values for all offices where both tables have the same iCBSA_Office and at least one of them has a Commercial_Flow of 'No delay'?,"SELECT T1.`Location`, T1.`Updated`, T2.`Location`, T2.`Updated` FROM `CAN_CSV0000000000012108` T1 JOIN `CAN_CSV0000000000012108` T2 ON T1.`iCBSA_Office` = T2.`iCBSA_Office` WHERE T1.`Commercial_Flow` = 'No delay' OR T2.`Commercial_Flow` = 'No delay'",CAN_CSV0000000000012108,CAN_CSV0000000000012108
What is the total number of immigrants from each country of origin and their corresponding distribution across different age classes for the year 2000?,total number of immigrants from each PROVENIENZA and their corresponding distribution across different CLASSIETA for the year 2000,"SELECT t1.`PROVENIENZA`, t2.`CLASSIETA`, SUM(t1.`IMMIGRATI`) AS total_immigrants, SUM(t2.`IMMIGRATI`) AS immigrants_by_age_class FROM 'Numero di immigrati stranieri a Modena' t1 INNER JOIN 'Numero di immigrati stranieri a Modena per classi di eta' t2 ON t1.`PROVENIENZA` = t2.`PROVENIENZA` AND t1.`ANNO` = 2000 AND t2.`ANNO` = 2000 GROUP BY t1.`PROVENIENZA`, t2.`CLASSIETA`",Numero di immigrati stranieri a Modena,Numero di immigrati stranieri a Modena per classi di eta
"What is the total number of immigrants from each country of citizenship and their distribution across different age classes for the year 2016, considering only the immigrants from the European Union area?","total number of immigrants from each CITTADINANZA and their distribution across different CLASSIETA for the year 2016, considering only the immigrants from Unione Europea area","SELECT t1.`CITTADINANZA`, t2.`CLASSIETA`, SUM(t1.`IMMIGRATI`) AS total_immigrants, SUM(t2.`IMMIGRATI`) AS immigrants_by_age_class FROM 'Numero di immigrati stranieri a Modena' t1 INNER JOIN 'Numero di immigrati stranieri a Modena per classi di eta' t2 ON t1.`ANNO` = t2.`ANNO` AND t1.`SESSO` = t2.`SESSO` AND t1.`PROVENIENZA` = t2.`PROVENIENZA` WHERE t1.`ANNO` = 2016 AND t1.`AREA` = 'Unione Europea' GROUP BY t1.`CITTADINANZA`, t2.`CLASSIETA`",Numero di immigrati stranieri a Modena,Numero di immigrati stranieri a Modena per classi di eta
"What is the total number of male immigrants from other Asian countries in 2009, grouped by citizenship and age class?","total number of immigrants from each CITTADINANZA and their distribution across different CLASSIETA for the year 2009, considering only those with SESSO as 'M' and AREA as 'Altri paesi Asia'","SELECT t1.`CITTADINANZA`, t2.`CLASSIETA`, SUM(t1.`IMMIGRATI`) AS total_immigrants, SUM(t2.`IMMIGRATI`) AS immigrants_by_age_class FROM 'Numero di immigrati stranieri a Modena' t1 INNER JOIN 'Numero di immigrati stranieri a Modena per classi di eta' t2 ON t1.`ANNO` = t2.`ANNO` AND t1.`SESSO` = t2.`SESSO` AND t1.`PROVENIENZA` = t2.`PROVENIENZA` WHERE t1.`ANNO` = 2009 AND t1.`SESSO` = 'M' AND t1.`AREA` = 'Altri paesi Asia' GROUP BY t1.`CITTADINANZA`, t2.`CLASSIETA`",Numero di immigrati stranieri a Modena,Numero di immigrati stranieri a Modena per classi di eta
"What is the total number of residents by citizenship and sex for each year where the population is greater than 20, considering both the historical series of resident population and the resident population in Modena since 1995?",total number of residents by citizenship and sex for each year where the population is greater than 20,"SELECT t1.`ANNO`, t1.`CITTADINANZA`, t1.`SESSO`, SUM(t1.`RESIDENTI`) AS total_residents, SUM(t2.`RESIDENTI`) AS residents_by_year FROM 'Popolazione residente a Modena dal 1995' t1 INNER JOIN 'Serie storiche della popolazione residente' t2 ON t1.`ANNO` = t2.`ANNO` AND t1.`CITTADINANZA` = t2.`CITTADINANZA` WHERE t1.`RESIDENTI` > 20 GROUP BY t1.`ANNO`, t1.`CITTADINANZA`, t1.`SESSO`",Popolazione residente a Modena dal 1995,Serie storiche della popolazione residente
What is the total number of residents by citizenship and sex for each year where the number of residents in 'Popolazione residente a Modena dal 1995' is greater than 20 and the corresponding year exists in 'Serie storiche della popolazione residente'?,total number of residents by citizenship and sex for each year where the number of residents in 'Popolazione residente a Modena dal 1995' is greater than 20 and the corresponding year exists in 'Serie storiche della popolazione residente',"SELECT t1.`ANNO`, t1.`CITTADINANZA`, t1.`SESSO`, SUM(t1.`RESIDENTI`) AS total_residents, SUM(t2.`RESIDENTI`) AS residents_by_year FROM 'Popolazione residente a Modena dal 1995' t1 INNER JOIN 'Serie storiche della popolazione residente' t2 ON t1.`ANNO` = t2.`ANNO` AND t1.`CITTADINANZA` = t2.`CITTADINANZA` WHERE t1.`RESIDENTI` > 20 GROUP BY t1.`ANNO`, t1.`CITTADINANZA`, t1.`SESSO`",Popolazione residente a Modena dal 1995,Serie storiche della popolazione residente
"What is the total number of female residents by year and citizenship in the S.FAUSTINO-MADONNINA neighborhood, considering both historical population data from 'Popolazione residente a Modena dal 1995' and 'Serie storiche della popolazione residente' tables?",total number of residents by year and citizenship for females in S.FAUSTINO-MADONNINA quartiere,"SELECT t1.`ANNO`, t1.`CITTADINANZA`, SUM(t1.`RESIDENTI`) AS total_residents_table1, SUM(t2.`RESIDENTI`) AS total_residents_table2 FROM 'Popolazione residente a Modena dal 1995' t1 INNER JOIN 'Serie storiche della popolazione residente' t2 ON t1.`ANNO` = t2.`ANNO` AND t1.`CITTADINANZA` = t2.`CITTADINANZA` WHERE t1.`QUARTIERE` = 'S.FAUSTINO-MADONNINA' AND t1.`SESSO` = 'FEMMINE' GROUP BY t1.`ANNO`, t1.`CITTADINANZA`",Popolazione residente a Modena dal 1995,Serie storiche della popolazione residente
Average residents per family in each neighborhood with many large families and high population,What is the average number of residents per family in each quartiere where the number of families with 4 or more components is higher than 40 and the total number of residents in the corresponding sezione di censimento is greater than 150?,"SELECT t1.`QUARTIERE`, AVG(t2.`ISCRITTI_2019`) AS average_residents, SUM(t1.`NUMERO_FAMIGLIE`) AS total_families FROM `Famiglie aggregate per numero di componenti la famiglia` t1 INNER JOIN `Residenti nelle singole sezioni di censimento del 2011: dal 2012 al 2021` t2 ON t1.`OBJECTID` = t2.`OBJECTID` WHERE t1.`DIMENSIONE_FAMILIARE` = '4' AND t1.`NUMERO_FAMIGLIE` > 40 AND t2.`ISCRITTI_2019` > 150 GROUP BY t1.`QUARTIERE`",Famiglie aggregate per numero di componenti la famiglia,Residenti nelle singole sezioni di censimento del 2011: dal 2012 al 2021
What are the average number of residents in 2018 and the total number of family members for each zone where the number of families with 3 or more members is greater than 50?,What are the average number of residents in 2018 and the total number of family members for each zone where the number of families with 3 or more members is greater than 50?,"SELECT t1.`ZONA`, AVG(t2.`ISCRITTI_2018`) AS average_residents, SUM(t1.`NUMERO_COMPONENTI`) AS total_family_members FROM `Famiglie aggregate per numero di componenti la famiglia` t1 INNER JOIN `Residenti nelle singole sezioni di censimento del 2011: dal 2012 al 2021` t2 ON t1.`OBJECTID` = t2.`OBJECTID` WHERE t1.`DIMENSIONE_FAMILIARE` >= '3' AND t1.`NUMERO_FAMIGLIE` > 50 GROUP BY t1.`ZONA`",Famiglie aggregate per numero di componenti la famiglia,Residenti nelle singole sezioni di censimento del 2011: dal 2012 al 2021
"What is the average number of residents in each zone where the number of families with 3 or more members is greater than 50, and what is the total number of family components in those zones?","What is the average number of residents in each zone where the number of families with 3 or more members is greater than 50, and what is the total number of family components in those zones?","SELECT t1.`ZONA`, AVG(t2.`ISCRITTI_2020`) AS average_residents, SUM(t1.`NUMERO_COMPONENTI`) AS total_family_components FROM `Famiglie aggregate per numero di componenti la famiglia` t1 INNER JOIN `Residenti nelle singole sezioni di censimento del 2011: dal 2012 al 2021` t2 ON t1.`OBJECTID` = t2.`OBJECTID` WHERE t1.`DIMENSIONE_FAMILIARE` >= '3' AND t1.`NUMERO_FAMIGLIE` > 50 GROUP BY t1.`ZONA`",Famiglie aggregate per numero di componenti la famiglia,Residenti nelle singole sezioni di censimento del 2011: dal 2012 al 2021
What are the average sizes of voting districts and where are they located?,What are the average areas of the electoral sections and their corresponding polling station addresses?,"SELECT AVG(t2.`AREA`) AS average_area, t1.`INDIRIZZO_PLESSO` AS polling_station_address FROM 'Indirizzario delle sezioni elettorali' t1 INNER JOIN 'Sezioni elettorali' t2 ON t1.`SEZIONE_ELETTORALE` = t2.`SEZ_ELETT` GROUP BY t1.`INDIRIZZO_PLESSO`",Indirizzario delle sezioni elettorali,Sezioni elettorali
"What is the average area of the electoral sections that correspond to each polling station address in the 'Indirizzario delle sezioni elettorali' table, and what are the respective areas for each section?",What is the average area of electoral sections for each polling station address?,"SELECT AVG(t2.`AREA`) AS average_area, t1.`INDIRIZZO_PLESSO` AS polling_station_address, t2.`SEZ_ELETT` FROM 'Indirizzario delle sezioni elettorali' t1 INNER JOIN 'Sezioni elettorali' t2 ON t1.`SEZIONE_ELETTORALE` = t2.`SEZ_ELETT` GROUP BY t1.`INDIRIZZO_PLESSO`, t2.`SEZ_ELETT`",Indirizzario delle sezioni elettorali,Sezioni elettorali
What are the addresses of the polling stations and their corresponding electoral section areas for each unique electoral section?,What are the polling station addresses and their corresponding electoral section areas for each unique SEZIONE_ELETTORALE?,"SELECT t1.`INDIRIZZO_PLESSO`, t2.`AREA`, t1.`SEZIONE_ELETTORALE` FROM 'Indirizzario delle sezioni elettorali' t1 INNER JOIN 'Sezioni elettorali' t2 ON t1.`SEZIONE_ELETTORALE` = t2.`SEZ_ELETT` GROUP BY t1.`INDIRIZZO_PLESSO`, t2.`AREA`, t1.`SEZIONE_ELETTORALE`",Indirizzario delle sezioni elettorali,Sezioni elettorali
